"Original Source"	"Original Code"	"English Title"	"Chinese Title"	"Japanese Title"	"Korean Title"	"English Definition"	"Chinese Definition"	"Japanese Definition"	"Korean Definition"
"IST WPRO and GB 97"	"2.3.53 and 22.7"	"Insomnia"	"失眠"			"inability to sleep or abnormal wakefulness. It can be seen in disorders such as sleeplessness, neurathenia, depressive psychosis, mania, hysteria, cerebral artheriosclerosis and other systemic diseases."	"经常不能获得正常睡眠的症状。常见于不寐、神劳、癫病、狂病、脏躁、脑络痹等脑系疾病，亦可因其他全身疾病引起。"		
"IST WPRO"	"2.3.193"	"inhibited urination"	"小便不利"			"difficult discharge of urine, usually scanty in amount, the same as dysuria"			
"IST WPRO"	"2.3.99"	"insensitivity"	"不仁"			"no perception to touch, also known as numbness"			
"IST WPRO"	"2.3.30"	"internal cold and external heat"	"內寒外熱"			"a complex condition characterized by the simultaneous presence of heat in the exterior portion of the body and cold in the interior  "			
"IST WPRO"	"2.3.106"	"itchy eyes"	"目癢"			"itching of the eye"			
"GB97"	"22.31"	"Jaundice"	"黄疸"			"It refers to yellow coloration of the conjunctival membranes over the sclerae (whites of the eyes), skin and urine. It is usually caused by attack of dampness heat, pestilential toxin, interior injury due to drinking of alcohol or improper diet, or dampness encumbrance due to spleen deficiency, blood stasis and qi stagnation. It can be divided into yang jaundice and yin jaundice according to progress, onset and coloration of the disease. Jaundice is the commonly seen symptom in diseases of liver, gallbladder and pancreas as well as severe disorders of blood and rice epidemic disease. In clinical practice, all diseases with manifestations of jaundice pertain to the category of jaundice."	"以白睛、皮肤粘膜及小便发黄为特征的一组症状。多因外感湿热、疫毒，内伤酒食，或脾虚湿困，血瘀气滞等所致。一般按病之新久缓急与黄色的明暗等分为阳黄与阴黄。黄疸为肝胆病变的常见症状，胰的病变，大量血液损害，稻瘟病等亦可出现黄疸。凡以黄疸为主要表现的疾病，可归纳为黄疸病类。"		
"JSOM"		"kagyaku"		"火逆"		"symptoms induced by inappropriate pyropuncture; fever flush"			
"JSOM"		"kakuran"		"霍乱"		"severe diarrhea such as in cholera"			
"JSOM"		"kyakusho secondary (auxiliary) symptoms"		"客証"		"guest confrontation"			
"IST WPRO"	"2.3.51"	"lack of strength"	"乏力"			"lack of physical strength"			
"IST WPRO"	"2.1.5"	"lack of vitality"	"少神"			"the general state marked by indifference, listlessness and low spirit"			
"IST WPRO"	"2.3.50"	"lassitude of spirit"	"神疲"			"lack of mental vigor"			
"IST WPRO"	"2.3.15"	"late afternoon tidal fever"	"日晡潮熱"			"fever more marked at 3-5 p.m. daily, as if the tide comes regularly "			
"IST WPRO"	"2.3.45"	"leaking sweat"	"漏汗"			"incessant sweating"			
"GB97"	"22.4"	"Leukorrhea"	"带下"			"It refers to increased vaginal discharge with abnormal color, texture and smell. It is caused by cold dampness or downward flow of dampness heat, or exuberance of heat toxin, or deficiency of yang qi in the spleen and kidney. It can be seen in vulva infection or uterine disease, especially in leukorrhagia. It can also be seen in patients with debility or exuberance of phlegm dampness."	"妇女阴道分泌物明显增多，色、质、气味异常的症状。寒湿或湿热下注，或热毒浸淫，或脾肾阳气亏虚等常可见带下异常。带下一般见于女阴局部感染邪毒，或胞宫等的病变，最常见于带下病。但身体虚弱或痰湿内盛者亦可见带下量多。"		
"IST WPRO"	"2.1.69"	"limp wilting tongue"	"痿軟舌"			"a tongue that is flabby and cannot move easily"			
"IST WPRO"	"2.3.101"	"loss of blood"	"失血; 奪血"			"a general term for various kinds of profuse bleeding, the same as hemorrhage"			
"IST WPRO"	"2.3.114"	"loss of smell"	"鼻不聞香臭"			"partial or total inability to smell"			
"IST WPRO"	"2.1.4"	"loss of vitality"	"失神"			"the general state marked by indifference, low spirit and impaired mental and physical functions with sluggish and inappropriate responses, indicating the existence of a serious pathological condition"			
"IST WPRO"	"2.3.68"	"lower abdominal colic"	"疝 "			"severe colicky pain in the lower abdomen usually accompanied by constipation and ischuria"			
"IST WPRO"	"2.3.161"	"lower abdominal contracture"	"小腹拘急; 小腹弦急"			"cramping sensation of the lower abdomen"			
"IST WPRO"	"2.3.160"	"lower abdominal cramp"	"小腹急結"			"subjective sensation of distention and fullness of the lower abdomen, usually with difficult urination "			
"IST WPRO"	"2.3.162"	"lower abdominal fullness"	"小腹滿; 小腹硬滿"			"a subjective feeling of fullness in the lower abdomen"			
"IST WPRO"	"2.3.163"	"lower abdominal numbness"	"小腹不仁"			"loss of sensation in the lower abdominal region"			
"IST WPRO and GB 97"	"2.3.70 AND 22.38"	"lumbago"	"腰痛"			"pain in the lumbar region"	"自觉腰部脊柱或其两侧疼痛的症状。"		
"IST WPRO"	"2.1.49"	"luxuriant, withered, tough and tender-soft"	"榮枯老嫩"			"a luxuriant tongue is moistened and fresh red in color; a withered tongue is dull, dark, dry and shriveled; a tough tongue is firm with rough texture; a tender-soft tongue is delicate with fine texture"			
"IST WPRO"	"2.1.26"	"malign complexion"	"惡色"			"dark and gloomy complexion indicating an unfavorable prognosis, also the same as unhealthy complexion"			
"IST WPRO and GB 97"	"2.1.7 AND 22.10"	"mental confusion"	"神昏"			"clouding of consciousness with sleepiness, but responsive to calling"	"神识丧失，对环境刺激缺乏反应的症状。轻者称晕厥或昏厥。"		
"GB97"	"22.39"	"Metrorrhagia and metrostaxis"	"崩漏"			"It refers to bleeding or dribbing bleeding from the vagina which is not normal menses. Hemorrhage from the vagina is either profuse or dribbing. It is usually caused by blood heat, dampness heat, qi deficiency, blood stasis and traumatic injury. It can be seen in menstrual diseases, metrostaxis and metrorrhagia, stony uterine mass, vaginal bleeding during pregnancy, ectopic pregnancy, postpartum profuse vaginal bleeding, postpartum lochiorrhea, epidemic hemorrhagic fever, purpura and blood extravasation."	"妇女非正常行经而阴道下血如崩或淋漓不尽的症状。势急而出血量多者为崩；势缓而出血量少、淋漓不断者为漏。多由血热、湿热、气虚、血瘀、外伤等所致。妇女月经病变，崩漏病，以及石瘕、胎漏、异位妊娠、新产血崩、产后恶露不绝，疫斑热、紫癜病、血溢病等病中皆可出现崩漏。"		
"IST WPRO"	"2.3.14"	"mild fever"	"微熱"			"low-grade fever, mostly due to interior heat"			
"IST WPRO"	"2.1.65"	"mirror tongue"	"鏡面舌"			"a completely smooth tongue free of coating, like a mirror"			
"IST WPRO"	"2.1.91"	"moist fur"	"潤苔"			"a moderately moistened tongue coating"			
"IST WPRO"	"2.1.24"	"morbid complexion"	"病色"			"abnormal color of the face caused by disease"			
"IST WPRO"	"2.1.77"	"motility of the tongue"	"舌態"			"the ability of the tongue to move spontaneously"			
"IST WPRO"	"2.2.26"	"mouth odor"	"口氣"			"smell emitted from the mouth"			
"JSOM"		"mukan"		"無汗"		"anhidrosis"			
"IST WPRO"	"2.3.100"	"muscular twitching and cramp"	"筋惕肉瞤"			"short spastic muscular contractions"			
"JSOM"		"myakusho"		"脈象"		"pulse manifestation; pulse condition; pulse image"			
"IST WPRO"	"2.3.113"	"nasal congestion"	"鼻塞; 鼻窒"			"blockage of the nasal passage"			
"IST WPRO"	"2.3.130"	"nausea"	"惡心"			"an unpleasant sensation with an urge to vomit"			
"IST WPRO and GB 97"	"2.3.34 and 22.4"	"night sweating"	"盜汗"			"sweating during sleep that ceases on awakening"	"睡时汗出，醒后汗止的汗出异常症状"		
"IST WPRO"	"2.3.168"	"numbness below the umbilicus"	"臍下不仁"			"loss of sensation in the region below the umbilicus"			
"IST WPRO"	"2.3.126"	"numbness in the mouth"	"口麻"			"numbness of the tongue with diminished taste sensitivity"			
"IST WPRO"	"2.3.98"	"numbness of the skin"	"肌膚麻木"			"local absence of normal sensation in the skin"			
"IST WPRO"	"2.3.48"	"oily sweat"	"油汗"			"sticky sweat like oil"			
"JSOM"		"onetsu"		"悪熱"		"aversion to heat; fear of fever"			
"IST WPRO"	"2.3.156"	"oppression in the chest"	"胸悶"			"feeling of oppression in the chest"			
"IST WPRO"	"2.3.83"	"oppressive pain"	"悶痛"			"a pain accompanied by feeling of oppression"			
"IST WPRO"	"2.3.86"	"pain of unfixed location"	"痛無定處"			"a pain whose location is not fixed"			
"IST WPRO"	"2.1.14"	"pale complexion"	"面色蒼白"			"a white complexion with a hint of blue or gray, a complexion often caused by yang collapse or exuberance of cold"			
"IST WPRO"	"2.1.51"	"pale red tongue"	"淡紅舌"			"a tongue of normal color"			
"IST WPRO"	"2.1.50"	"pale tongue"	"淡白舌"			"a tongue less red than normal, indicating qi and blood deficiency or presence of deficiency-cold "			
"IST WPRO"	"2.1.13"	"pale white complexion"	"面色淡白"			"a colorless complexion, often indicating blood deficiency or profuse loss of blood"			
"IST WPRO and GB 97"	"2.3.141 AND 22.22"	"palpitations"	"心悸"			"a subjective sensation of rapid and forceful beating of the heart"	"自觉心搏跳动异常，心慌不安的症状。"		
"IST WPRO"	"2.3.164"	"palpitations above the umbilicus"	"臍上悸"			"rapid pulsations felt in the region above the umbilicus, the same as supra-umbilical aortic pulsation"			
"IST WPRO"	"2.3.142"	"palpitations below the heart"	"心下悸"			"pulsations felt in the epigastric region below the xiphoid process"			
"IST WPRO"	"2.3.166"	"palpitations below the umbilicus"	"臍下悸; 臍下悸動"			"rapid pulsations felt in the region below the umbilicus, the same as sub-umbilical aortic pulsation"			
"IST WPRO"	"2.3.165"	"palpitations beside the umbilicus"	"臍傍悸"			"rapid pulsations felt in the para-umbilical region, the same as para-umbilical aortic pulsation"			
"GB97"	"22.19"	"Panting"	"气喘"			"It refers to difficulty in breathing or apnea. It is usually caused by attack of exogenous wind cold or wind heat, or exuberance of pathogenic heat, retention of phlegm fluid in the lung, deficiency of lung and kidney qi. Apart from diseases of lung and heart, it also can be seen in diseases of the throat and chest, warm diseases, abdominal tumor or ascites, consumptive disease or prostration."	"呼吸困难，气息迫促的症状。多因外感风寒风热之邪，或邪热炽盛，痰饮停肺，肺肾气虚所致。除肺、心疾病常见气喘外，咽喉或胸廓的病变、温热类疾病、腹内肿瘤或积水等挤压、虚劳类、脱病类疾病等亦可见气喘。"		
"GB97"	"22.45"	"Paralysis"	"瘫痪"			"It refers to flaccidity of limbs that cannot function normally, usually caused by the retention of cold dampness, heat toxin and phlegm in the meridians, or atrophy of sinews and muscles due to deficiency of essence and blood, or brain system disease or blockage of meridian qi. It can be seen in diseases such as apoplexy, hemiplegia after attack of apoplexy, qi syncope, brain tumor, pestilent pedal flaccidity as well as muscular flaccidity, beriberi, muscular atropy, limb flaccidity, skull and spine injury or operational injury."	"肢体痿软、纵弛不用的症状。多因寒湿热毒瘀痰等邪阻滞经络，或因精血亏虚而筋肉失养，或因脑系病变及经气阻滞等所致。导致瘫痪的常见疾病有中风、风痱、气厥、脑部肿瘤，软脚瘟等疫病类疾病，肌痿、脚气、痿躄、肢痿等躯体病，头颅及脊柱损伤或手术创伤等亦可导致。"		
"IST WPRO"	"2.1.76"	"paralyzed tongue"	"麻痹舌"			"a numb tongue unable to move"			
"IST WPRO"	"2.3.158"	"paraumbilical and hypochondriac aggregation"	"痃癖"			"elongated masses located at the side of the umbilicus or in the hypochondriac region that occur intermittently with sharp pain"			
"IST WPRO"	"2.3.89"	"paroxysmal pain"	"陣發痛"			"pain recurring in paroxysms"			
"IST WPRO"	"2.1.64"	"peeled tongue"	"光剝舌"			"a tongue that has lost its normal coating, giving the appearance of having been peeled"			
"IST WPRO"	"2.1.98"	"peeling fur"	"剝苔; 舌苔脫落"			"complete or partial peeling of the tongue coating"			
"IST WPRO"	"2.3.90"	"persistent pain"	"持續痛"			"pain continuing without interruption"			
"IST WPRO"	"2.1.28"	"pitting edema"	"胕腫"			"edema associated with pitting of the skin, which resolves only slowly, usually occurring on the instep"			
"IST WPRO"	"2.3.202"	"poor libido"	"性欲淡漠"			"lack of desire for sexual gratification, the same as low libido"			
"IST WPRO"	"2.1.3"	"presence of vitality"	"得神"			"the general state marked by high spirit and mental and physical exuberance with prompt and appropriate responses, indicating that the healthy qi is not damaged and improvement from a pathological condition can be expected"			
"IST WPRO"	"2.1.61"	"prickly tongue"	"芒刺舌"			"a tongue with thorn-like protrusions on its surface"			
"IST WPRO"	"2.3.54"	"profuse dreaming"	"多夢"			"a condition in which sleep is frequently disturbed by dreams"			
"IST WPRO"	"2.3.32"	"profuse sweating"	"多汗; 大汗"			"excessive sweating not related to a hot environment, physical exertion or taking diaphoretics"			
"IST WPRO"	"2.1.74"	"protracted tongue"	"舌縱"			"a tongue that is habitually extended out of the mouth and cannot be retracted"			
"IST WPRO"	"2.1.73"	"protruded agitated tongue"	"吐弄舌"			"a pathological condition in which the tongue hangs out of the mouth and moves in a circular motion whereby the tip is extended from and retracted back into the mouth, or licks the lips "			
"IST WPRO"	"2.1.33"	"proximal bleeding"	"近血"			"passing fresh blood before or during defecation, indicating anal or rectal hemorrhage"			
"IST WPRO"	"2.1.21"	"puffy face"	"面浮"			"a soft swollen face, usually indicating a deficiency condition"			
"IST WPRO"	"2.3.79"	"pulling pain"	"掣痛"			"pain in one part involving other parts"			
"IST WPRO"	"2.1.54"	"purple tongue"	"紫舌"			"a tongue purple in color, indicating stagnant circulation of qi and blood"			
"GB97"	"22.47"	"Purplish macula"	"紫斑"			"It refers to non-elevated cyanotic and purple patches or purple and red spots of the cutaneous membrane, usually caused by invasion of heat toxin into the collaterals, extravasation of blood due to blood heat, or failure of spleen qi to control blood due to deficiency, or traumatic injury that causes overflow of blood from the vessels to the skin. It can be seen in traumatic injury, or other diseases like purpura, aplastic anemia, hypochondriac mass due to liver disorder, diseases due to pickling vegetable, purpura during pregnancy, exogenous febrile diseases and poisoning."	"皮肤粘膜出现不高出肤面的青紫色或紫红色斑块或斑点的症状。多因热毒窜络，血热妄行，或脾虚气不摄血，或外伤等，使血不循经，外溢肌肤而成。常见疾病有外伤、紫癜病、髓劳、肥气、菜乌紫病、妊娠紫癜，以及外感热病、中毒等。"		
"IST WPRO"	"2.1.52"	"red tongue"	"紅舌"			"a tongue redder than normal, indicating presence of heat"			
"IST WPRO"	"2.1.17"	"reddened complexion"	"面紅"			"a complexion redder than normal, indicating the presence of heat"			
"IST WPRO"	"2.3.199"	"reddish yellow urine"	"小便黃赤"			"dark yellow or even reddish urine"			
"IST WPRO"	"2.3.136"	"retained food"	"宿食"			"food and drink accumulating in the stomach and intestines, undigested overnight"			
"IST WPRO"	"2.3.138"	"retching"	"噦"			"making the sounds and movements of vomiting bringing up little or nothing from the stomach"			
"IST WPRO"	"2.3.26"	"reversal cold of the extremities"	"手足厥冷; 厥冷; 厥逆"			"pronounced cold in the extremities up to the knees and elbows or beyond, also the same as cold extremities"			
"IST WPRO"	"2.3.27"	"reversal of qi"	"厥"			"reverse flow of qi characterized by (1) sudden loss of consciousness, usually of short duration or  (2) cold extremities up to the elbows and knees or beyond; also known as syncope or severe coldness"			
"IST WPRO"	"2.3.148"	"rigidity below the heart"	"心下堅; 心下鞕"			"abnormal stiffness in the epigastric region, the same as epigastric rigidity "			
"IST WPRO"	"2.1.90"	"rotten-curdy fur"	"霉醬苔"			"a reddish thick tongue coating with black and yellow tinge"			
"IST WPRO"	"2.1.20"	"sallow complexion"	"面色萎黃"			"yellowish withered complexion, which usually occurs in cases of spleen qi deficiency "			
"IST WPRO"	"2.3.125"	"salty taste in the mouth"	"口鹹"			"a subjective salty sensation in the mouth"			
"IST WPRO"	"2.3.76"	"scorching pain"	"灼痛"			"pain accompanied by a burning sensation, also called burning pain "			
"IST WPRO"	"2.3.82"	"scurrying pain"	"竄痛"			"pain that repeatedly changes location"			
"IST WPRO"	"2.3.88"	"severe pain"	"劇痛"			"intense intolerable pain"			
"IST WPRO"	"2.3.37"	"shiver sweating"	"戰汗"			"sweating following shivering "			
"IST WPRO"	"2.3.8"	"shivering"	"寒戰"			"violent chills with trembling"			
"GB97"	"22.49"	"Skin itching"	"皮肤瘙痒"			"It refers to subjective feeling of skin itching, usually caused by attack of pathogenic wind, or interior disturbance of blood heat, or atrophy due to blood deficiency. It can be seen in various skin diseases and other disorders like food allergy, drug allergy, premenstrual urticaria, rebulla during pregnancy and pruritus vulvae."	"自觉皮肤瘙痒的症状。多因风邪外袭，或因血热内扰，或血虚失养等所致。常见于各种皮肤疾病，以及食物过敏、药物过敏、经前隐疹、妊娠风疹、阴痒等病。"		
"IST WPRO"	"2.3.55"	"sleep walking"	"夢遊"			"rising out of bed and walking about or performing other behavior during an apparent state of sleep"			
"IST WPRO"	"2.1.95"	"slimy fur"	"膩苔"			"a dense, turbid, slimy tongue coating, sticking on the tongue, hard to wipe off, also known as greasy fur"			
"IST WPRO"	"2.1.94"	"slippery fur"	"滑苔"			"a moist tongue coating with excessive fluid, feels slippery "			
"IST WPRO"	"2.3.181"	"sloppy diarrhea"	"溏泄"			"diarrhea with soft, unformed stool"			
"IST WPRO"	"2.3.185"	"sloppy stool"	"便溏"			"discharge of soft, unformed stools, the same as loose stool"			
"IST WPRO"	"2.2.25"	"snoring"	"鼻鼾"			"rough and noisy breathing while sleeping"			
"IST WPRO"	"2.3.183"	"soggy diarrhea"	"濡泄"			"diarrhea due to damage to the spleen by exuberant dampness"			
"IST WPRO"	"2.3.52"	"somnolence"	"嗜睡; 嗜臥"			"excessive sleepiness night and day"			
"GB97"	"22.9"	"Somnolence"	"嗜睡"			"Patients feel sleepy in either daytime or at night and the time for sleep is increased. It is usually caused by insufficiency of yang qi, or exuberance of phlegm dampness, or obstruction of clear yang due to stagnant blood and turbid toxin. It can be seen in diseases such as somnolence, obesity, dementia, interior injury of head, poisoning, and consumptive diseases."	"患者不分昼夜，时时欲睡，实际睡眠时间增加的症状。多因阳气不足，或痰湿内盛，瘀血浊毒阻蔽清阳所致。常见于多寐、肥胖病、痴呆、头部内伤、中毒等病以及虚劳类疾病中。"		
"IST WPRO"	"2.3.123"	"sour taste in the mouth"	"口酸"			"a subjective sour sensation in the mouth"			
"IST WPRO and GB 97"	"2.3.91 and 22.2"	"spasm"	"拘攣; 攣急, 抽搐 "			"stiffness and tension in the limbs inhibiting normal bending and stretching"	"各种原因引起的四肢不自主抽动的症状"		
"IST WPRO"	"2.3.104"	"spitting of blood"	"唾血"			"expulsion of blood with saliva"			
"IST WPRO"	"2.1.67"	"spontaneous bleeding of the tongue"	"舌衄"			"bleeding from the tongue not due to traumatic injury"			
"IST WPRO"	"2.3.170"	"spontaneous diarrhea"	"大便自利"			"diarrhea not attributable to purgation"			
"IST WPRO and GB 97"	"2.3.33 and 22.3"	"spontaneous sweating"	"自汗"			"excessive sweating during the daytime with no apparent cause such as physical exertion, hot weather, thick clothing or medication"	"不因劳累、炎热、衣着过暖、服用发汗药等因素而时时汗出，动辄益甚的汗出异常症状。"		
"IST WPRO"	"2.3.191"	"spontaneous urination"	"小便自利"			"spontaneous discharge of urine"			
"IST WPRO"	"2.1.60"	"spotted tongue"	"點刺舌"			"a tongue with red, white or black spots as well as thorn-like protrusions on its surface"			
"IST WPRO"	"2.3.74"	"stabbing pain"	"刺痛"			"a sharp pain as if caused by a stab"			
"IST WPRO"	"2.1.100"	"stained fur"	"染苔"			"a tongue coating that is stained, often by food or medicine"			
"IST WPRO"	"2.3.19"	"steaming bone"	"骨蒸"			"a subjective feeling of fever deep in the body, which appears to emanate from the bone or marrow"			
"IST WPRO"	"2.1.96"	"sticky slimy fur"	"粘膩苔"			"a dense, turbid, slimy tongue coating, covered with a layer of thick turbid mucus"			
"IST WPRO"	"2.3.127"	"sticky slimy sensation in the mouth"	"口粘膩"			"an unpleasant subjective sensation of stickiness in the mouth"			
"IST WPRO"	"2.1.68"	"stiff tongue"	"强硬舌"			"a tongue that is stiff, moves sluggishly, and inhibits speech"			
"IST WPRO"	"2.3.58"	"stiffness of the neck"	"項强"			"muscular contraction and rigidity of the neck and the upper back with impaired movement"			
"IST WPRO"	"2.3.66"	"stomach pain"	"脘痛; 胃痛"			"the same as epigastric pain"			
"IST WPRO"	"2.3.187"	"stool containing pus and blood"	"便膿血"			"passage of blood, pus and mucus together with stool, a symptom usually indicating dysentery"			
"IST WPRO"	"2.3.186"	"stool sometimes sloppy and sometimes bound"	"溏結不調"			"stool that varies greatly in consistency "			
"IST WPRO"	"2.3.152"	"stuffiness"	"痞"			"a localized subjective feeling of fullness and blockage"			
"IST WPRO"	"2.3.153"	"stuffiness and fullness"	"痞滿"			"unwell feeling of stuffiness and fullness in the chest and upper abdomen"			
"IST WPRO"	"2.3.150"	"stuffiness and rigidity below the heart"	"心下痞堅; 心下痞鞕"			"a feeling of stuffiness associated with local rigidity in the epigastric region, the same as epigastric stuffiness and rigidity"			
"IST WPRO"	"2.3.155"	"stuffiness and rigidity in the chest"	"胸中痞硬; 胸下痞硬"			"feeling of stuffiness and choking in the chest"			
"JSOM"		"suigyaku"		"逆"		"immediate vomiting following intake of fluids when thirsty; water adversity"			
"IST WPRO"	"2.3.61"	"supraorbital pain"	"眉棱骨痛"			"pain felt in the eyebrow bone"			
"IST WPRO"	"2.3.42"	"sweating from the armpits"	"腋汗"			"excessive local sweating from the armpit"			
"IST WPRO"	"2.3.40"	"sweating from the hands and feet"	"手足汗"			"excessive local sweating from the hands and feet"			
"IST WPRO"	"2.3.38"	"sweating from the head"	"頭汗"			"excessive sweating on the head, face or neck"			
"IST WPRO"	"2.3.41"	"sweating from the heart region"	"心汗"			"excessive sweating in the precordial region"			
"IST WPRO"	"2.3.39"	"sweating from the palms and soles"	"手足心汗"			"excessive local sweating from the palms and soles"			
"IST WPRO"	"2.3.122"	"sweet taste in the mouth"	"口甜"			"a subjective sweet sensation in the mouth"			
"IST WPRO"	"2.3.118"	"swift digestion with rapid hungering"	"消穀善饑"			"excessive appetite with increased food intake and recurrence of hunger sensation shortly after eating"			
"IST WPRO"	"2.3.184"	"swill diarrhea"	"飧泄"			"diarrhea marked by watery stool containing undigested food"			
"IST WPRO"	"2.1.58"	"swollen tongue"	"腫脹舌"			"a large and bulging tongue that makes the mouth full or difficult to open"			
"IST WPRO"	"2.3.119"	"taste in the mouth"	"口味"			"the taste experienced when there is nothing in the mouth"			
"IST WPRO"	"2.1.62"	"teeth-marked tongue"	"齒痕舌"			"a tongue with dental indentations on its margin"			
"IST WPRO"	"2.3.176"	"tenesmus"	"裏急後重"			"ineffectual and painful straining at stool"			
"JSOM"		"tensiki flatus"		"転失気"		"movement of gas in the intestinal tract; the breaking of wind"			
"IST WPRO"	"2.1.89"	"thick fur"	"厚苔"			"a tongue coating through which the underlying tongue surface is not visible"			
"IST WPRO"	"2.1.88"	"thin fur"	"薄苔"			"a tongue coating through which the underlying tongue surface is faintly visible"			
"IST WPRO"	"2.1.59"	"thin tongue"	"瘦薄舌"			"a tongue thinner than normal"			
"IST WPRO"	"2.3.116"	"thirst"	"口渴"			"feeling of dryness of the mouth with a desire to drink"			
"IST WPRO"	"2.3.179"	"throughflux diarrhea"	"洞泄"			"diarrhea after eating, with undigested food in the stool"			
"IST WPRO"	"2.3.13"	"tidal fever"	"潮熱"			"fever with periodic rise and fall of body temperature at fixed hours of the day like the morning and evening tides"			
"IST WPRO"	"2.3.149"	"tightness below the heart"	"心下支結"			"a feeling of obstruction associated with vexation and distension in the epigastric region, the same as epigastric tightness"			
"IST WPRO and GB 97"	"2.3.111 and 22.12"	"tinnitus"	"耳鸣"			"ringing in the ear"	"自觉耳内鸣响的症状。"		
"IST WPRO"	"2.1.79"	"tongue fur"	"舌苔"			"a layer of moss-like material covering the tongue, also called tongue coating"			
"GB97"	"22.15"	"Toothache"	"牙痛"			"It is characterized by subjective symptoms of tooth or gum pain. It is caused by invasion of pathogenic wind, up-flaming of stomach heat, floating fire due to yin deficiency, qi weakness due to spleen deficiency, and erosion of teeth. It can be seen in diseases such as dental caries, dental abscess, gingival abscess with lockjaw, gingival osteomyelitis of dental alveoli, etc."	"自觉牙齿或牙龈疼痛的症状。风邪侵袭、胃热上蒸、虚火上炎、脾虚气弱以及虫蚀牙体等均可导致牙痛。其常见疾病有龋齿、牙痈、牙咬痈、齿槽风等。"		
"IST WPRO"	"2.3.117"	"torpid intake"	"納呆"			"loss of appetite with no desire for food, the same as poor appetite"			
"IST WPRO"	"2.1.70"	"trembling tongue"	"顫動舌"			"a tongue that involuntarily trembles as it moves"			
"GB97"	"22.46"	"Tremor"	"震颤"			"It refers to involuntary trembling of hand and foot, or shaking of head, usually caused by insufficiency of essence and blood in the liver and kidney, and deficiency of qi and yin that cause atrophy of sinew and meridians, and interior stirring of deficiency wind, or blockage of meridians due to wind phlegm. It can be seen in diseases such as tremor disease, brain atrophy and qi syncope."	"手足颤动，或头部摇晃不能自主的症状。多因肝肾精血亏少，气阴不足，筋脉失养，虚风内动，或因风痰阻络等所致。常见疾病有颤病、脑萎、气厥等脑系疾病。"		
"IST WPRO"	"2.1.27"	"true visceral color"	"眞臟色"			"color reflected in the face indicating exhaustion of the genuine qi of internal organs"			
"IST WPRO and GB 97"	"2.3.197 AND 22.42"	"turbid urine"	"尿浊"			"murky urine like rice water or grease"	"小便混浊，白如泔浆的症状。"		
"IST WPRO"	"2.3.173"	"undigested food in stool"	"完穀不化"			"a condition in which the stool contains undigested food"			
"IST WPRO"	"2.3.172"	"ungratifying diarrhea"	"瀉下不爽"			"diarrhea that leaves the patient with a feeling that the bowels have not been satisfactorily emptied"			
"IST WPRO"	"2.3.17"	"unsurfaced fever"	"身熱不揚"			"a persistent fever in which heat is not easily felt on the body surface and can be felt only by prolonged palpation, a sign of dampness-heat"			
"IST WPRO"	"2.3.194"	"urinary incontinence"	"小便失禁"			"failure of voluntary control of urination"			
"GB97"	"22.6"	"Vertigo"	"眩晕"			"It refers to subjective feeling of dizziness and swirling in seeing things. It is either chronic or paroxysmal. The focus of this problem is usually in the brain. It is usually caused by failure of qi, blood, nutrient essence to nourish the head; or upper attack of wind yang and fire heat; or obstruction of clear yang by phlegm turbidity or stagnant blood. It can be seen in diseases such as wind vertigo, cerebral artherosclerosis, deficiency type of vertigo, ear dizziness, dizziness during pregnancy, eclampsia, postpartum faint due to hemorrhage, kinesia, brain atrophy, neurasthenia as well as interior injury of head, cervical spine syndrome, drug poisoning, brain tumor and diseases of eyes, nose and ears."	"自觉头晕眼花，视物旋转动摇的症状。有经常性与发作性的不同，病位主要在脑髓清窍。多因气血营精不能上荣于头，或因风阳、火热上扰，痰浊、瘀血阻滞，清阳被遏等所致。风眩、脑络痹、虚眩、耳眩晕、子眩、子痫、产后血晕、晕动病、脑萎、神劳等疾病，头部内伤、项痹、某些药物中毒、脑瘤及眼耳鼻等五官疾病，皆可出现眩晕的症状。"		
"IST WPRO"	"2.3.144"	"vexation"	"心煩"			"a feeling of restlessness, heat, and oppression in the region of the heart"			
"IST WPRO"	"2.3.145"	"vexation of deficiency type"	"虛煩"			"vexation due to deficiency fire harassing the inner body"			
"IST WPRO"	"2.3.22"	"vexing heat in the chest, palms and soles"	"五心煩熱"			"feeling of heat in the palms of hands, soles of feet and in the chest, accompanied by uneasiness or restlessness, also called five center heat "			
"IST WPRO"	"2.3.24"	"vexing heat in the extremities"	"手足煩熱"			"uncomfortable heat sensation in the extremities"			
"IST WPRO"	"2.1.23"	"visiting complexion"	"客色"			"a normal complexion influenced by a change of climate"			
"IST WPRO and GB 97"	"2.3.132 AND 22.24"	"vomiting"	"呕吐"			"forcible expulsion of the stomach contents through the mouth"	"胃内容物从口中吐出的症状。"		
"IST WPRO"	"2.3.133"	"vomiting in the evening of food eaten in the morning"	"朝食暮吐"			"a characteristic symptom of stomach reflux, usually occurring together with vomiting in the morning of food eaten in the evening"			
"IST WPRO"	"2.3.134"	"vomiting in the morning of food eaten in the evening"	"暮食朝吐"			"a characteristic symptom of stomach reflux, usually occurring together with vomiting in the evening of food eaten in the morning"			
"IST WPRO"	"2.3.85"	"wandering pain"	"遊走痛"			"pain in the joints of the extremities with repeated change of location"			
